County,Year,BLM,USFS,State,County and Municipal,Industry,NIP,Native American,Total Of Volume,Total Private,Total Public
BAKER,1962,5858,58900,0,0,0,6540,0,71298,6540,64758
BAKER,1963,767,61200,0,,256,2729,0,64952,2985,61967
BAKER,1964,272,104100,11,,0,6252,0,110635,6252,104383
BAKER,1965,68,107800,0,0,0,1151,0,109019,1151,107868
BAKER,1966,17,114900,0,0,0,350,0,115267,350,114917
BAKER,1967,439,93000,0,0,0,2747,0,96186,2747,93439
BAKER,1968,2916,103047,0,0,4675,0,0,110638,4675,105963
BAKER,1969,802,91004,0,0,0,10766,0,102572,10766,91806
BAKER,1970,1109,61379,0,0,0,4007,0,66495,4007,62488
BAKER,1971,35,83208,0,0,567,53142,0,136952,53709,83243
BAKER,1972,1844,88297,0,0,1147,3805,0,95093,4952,90141
BAKER,1973,2759,57056,75,0,0,7453,0,67343,7453,59890
BAKER,1974,0,28393,0,0,10884,15328,0,54605,26212,28393
BAKER,1975,0,58622,0,0,0,4349,0,62971,4349,58622
BAKER,1976,378,80360,0,0,1317,7894,0,89949,9211,80738
BAKER,1977,1015,77664,0,0,6115,9285,0,94079,15400,78679
BAKER,1978,2410,69341,0,0,9166,9142,0,90059,18308,71751
BAKER,1979,681,60878,0,0,5880,6760,0,74199,12640,61559
BAKER,1980,182,40570,0,483,2580,3190,0,47005,5770,41235
BAKER,1981,760,50571,0,533,3910,11020,0,66794,14930,51864
BAKER,1982,0,48256,0,222,1171,3677,0,53326,4848,48478
BAKER,1983,0,74481,0,454,2095,3222,0,80252,5317,74935
BAKER,1984,330,61093,0,0,4507,3669,0,69599,8176,61423
BAKER,1985,0,54174,0,0,8886,940,0,64000,9826,54174
BAKER,1986,356,66003,0,0,1216,6438,0,74013,7654,66359
BAKER,1987,721,83087,0,0,145,13244,0,97197,13389,83808
BAKER,1988,1149,59030,0,0,1048,20844,0,82071,21892,60179
BAKER,1989,3198,47525,0,0,5084,14242,0,70049,19326,50723
BAKER,1990,5738,49229,0,0,9423,22193,0,86583,31616,54967
BAKER,1991,0,29568,0,0,10000,6071,0,45639,16071,29568
BAKER,1992,0,29079,0,0,11507,15067,0,55653,26574,29079
BAKER,1993,0,18561,0,0,14523,19427,0,52511,33950,18561
BAKER,1994,0,8457,0,9,10909,17706,0,37081,28615,8466
BAKER,1995,0,6568,0,0,7716,11164,0,25448,18880,6568
BAKER,1996,545,13912,0,0,7481,8424,0,30362,15905,14457
BAKER,1997,300,14360,0,571,5112,10727,0,31070,15839,15231
BAKER,1998,28,12156,0,136,9508,5799,0,27627,15307,12320
BAKER,1999,5,14238,0,492,4657,10433,0,29825,15090,14735
BAKER,2000,0,16541,0,994,1453,10723,0,29711,12176,17535
BAKER,2001,0,13532,0,248,6781,3446,0,24007,10227,13780
